0.000	-411.360	1.2
0.000	-397.782	1.2
0.000	262.288	1.2
0.000	384.554	1.2
0.000	416.677	1.2
0.000	-412.913	0.8
0.000	-401.325	0.8
0.000	264.778	0.8
0.000	296.800	0.8
0.000	389.035	0.8
0.000	423.926	0.8
0.000	-411.202	0.4
0.000	261.661	0.4
0.000	293.470	0.4
0.000	388.183	0.4
0.000	424.535	0.4
0.000	-428.249	0
0.000	-421.720	0
0.000	254.018	0
0.000	288.848	0
0.000	382.732	0
0.000	419.293	0
0.000	-433.804	-0.4
0.000	244.127	-0.4
0.000	278.801	-0.4
0.000	374.916	-0.4
0.000	411.415	-0.4
0.000	-446.243	-0.8
0.000	234.525	-0.8
0.000	271.289	-0.8
0.000	365.560	-0.8
0.000	402.722	-0.8
0.000	-453.868	-1.2
0.000	229.690	-1.2
0.000	266.199	-1.2
0.000	359.959	-1.2
0.000	397.706	-1.2
