-5.249	-356.574	3.098 
-5.494	-222.075	3.098 
-5.011	-184.285	3.098 
		
-3.629	-358.194	2.098 
-3.633	-223.936	2.098 
-3.680	-185.616	2.098 
-4.757	487.965	2.098 
		
-0.998	-360.825	1.098 
-1.228	-226.341	1.098 
-1.161	-188.135	1.098 
-2.365	485.573	1.098 
		
		
0.000	-361.823	0.098 
0.000	-227.569	0.098 
0.000	-189.296	0.098 
0.000	483.208	0.098 
		
		
-0.791	-361.032	-0.902 
-0.815	-226.754	-0.902 
-0.754	-188.542	-0.902 
-1.479	484.687	-0.902 
		
-3.157	-358.666	-1.902 
-3.138	-224.431	-1.902 
-3.085	-186.211	-1.902 
		
		
-5.316	-356.507	-2.902 
-4.633	-222.936	-2.902 
-4.572	-184.724	-2.902 
